StateAbbr,StateDesc,CountyName,CountyFIPS,Geolocation,TotalPopulation,TotalPop18plus,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI
NY,New York,New York,36061,POINT (-73.9714738348854 40.7722884387458),1596273,1372389,35.9,"(33.0, 39.0)",36.4,"(33.5, 39.5)"
MI,Michigan,Huron,26063,POINT (-83.0196504596317 43.8334172806921),31248,25351,33.2,"(26.6, 40.4)",35.4,"(28.5, 42.8)"
OR,Oregon,Curry,41015,POINT (-124.156361485654 42.4573016325707),23598,20248,30.4,"(24.3, 36.8)",32.6,"(26.2, 39.1)"
IL,Illinois,Jersey,17083,POINT (-90.3562462972533 39.0855866355985),21246,17015,35.4,"(28.5, 42.6)",36.9,"(29.7, 44.2)"
ID,Idaho,Nez Perce,16069,POINT (-116.749939019682 46.3271022270792),43004,33907,34.3,"(29.8, 38.9)",35.7,"(31.1, 40.4)"
MN,Minnesota,Brown,27015,POINT (-94.7275709404096 44.2421718867323),25723,20087,27.5,"(22.4, 33.5)",29.2,"(23.8, 35.3)"
IL,Illinois,Edgar,17045,POINT (-87.7455506035259 39.6785617385241),16433,13193,37.0,"(30.0, 44.1)",38.7,"(31.5, 45.9)"
IA,Iowa,Iowa,19095,POINT (-92.0651878097029 41.6862406700397),16475,12646,28.7,"(23.1, 34.6)",29.6,"(23.8, 35.5)"
MO,Missouri,Cooper,29053,POINT (-92.8101598105797 38.843489327174),16772,13075,38.5,"(31.5, 46.0)",39.7,"(32.6, 47.3)"
PA,Pennsylvania,Fulton,42057,POINT (-78.1128382889983 39.9253441914256),14533,11723,38.2,"(31.0, 45.6)",40.2,"(32.8, 47.7)"
KS,Kansas,Finney,20055,POINT (-100.737646065991 38.0440536110276),37650,26502,36.5,"(31.4, 42.0)",37.0,"(31.9, 42.5)"
IN,Indiana,Benton,18007,POINT (-87.3107747843354 40.6063412111328),8719,6609,36.2,"(29.5, 43.4)",37.3,"(30.5, 44.6)"
IN,Indiana,Monroe,18105,POINT (-86.523228001631 39.1608320398439),139745,118007,31.8,"(27.2, 36.7)",33.5,"(28.7, 38.5)"
IA,Iowa,Butler,19023,POINT (-92.7901998363377 42.7315884100093),14269,11084,30.4,"(24.8, 36.4)",31.3,"(25.6, 37.4)"
AR,Arkansas,Columbia,5027,POINT (-93.2275288321248 33.2144070346383),22216,17519,39.9,"(33.2, 46.9)",42.1,"(35.3, 49.1)"
FL,Florida,Hamilton,12047,POINT (-82.9479422377151 30.4963440419861),13217,10480,42.7,"(36.9, 48.7)",44.2,"(38.3, 50.3)"
ND,North Dakota,Oliver,38065,POINT (-101.340679604409 47.1153026109609),1856,1412,32.2,"(25.5, 39.4)",34.3,"(27.3, 41.7)"
TX,Texas,Marion,48315,POINT (-94.357306201594 32.7981212293791),9560,7867,38.0,"(34.8, 41.2)",40.4,"(37.1, 43.7)"
WY,Wyoming,Converse,56009,POINT (-105.507297908746 42.9722028131336),13786,10468,33.1,"(28.5, 39.7)",34.0,"(29.4, 40.8)"
NM,New Mexico,Taos,35055,POINT (-105.63098311438 36.5783384910955),34580,28987,29.6,"(24.3, 35.3)",31.7,"(26.1, 37.7)"
MI,Michigan,Washtenaw,26161,POINT (-83.8388014669744 42.2532412476672),366376,300606,27.4,"(24.2, 30.6)",28.7,"(25.4, 32.0)"
MI,Michigan,Livingston,26093,POINT (-83.9115825898176 42.6029888089791),196161,156910,30.9,"(26.5, 35.6)",32.2,"(27.7, 36.9)"
OK,Oklahoma,Nowata,40105,POINT (-95.6173671917311 36.7984587733773),9483,7259,39.0,"(32.1, 47.0)",40.4,"(33.3, 48.4)"
MO,Missouri,St. Clair,29185,POINT (-93.7760224318696 38.0371732557425),9576,7570,35.0,"(28.0, 42.4)",37.3,"(30.1, 45.0)"
MS,Mississippi,Oktibbeha,28105,POINT (-88.8793086175243 33.4250380065366),51427,42620,36.8,"(31.4, 42.5)",38.9,"(33.3, 44.6)"
TX,Texas,Childress,48075,POINT (-100.207774384302 34.5292988540365),6809,5480,40.4,"(32.9, 47.9)",41.3,"(33.7, 48.9)"
WI,Wisconsin,Milwaukee,55079,POINT (-87.9669491230639 43.0071720144533),918661,702428,35.8,"(32.8, 38.7)",36.4,"(33.4, 39.4)"
TN,Tennessee,Marshall,47117,POINT (-86.765342042301 35.4689863996802),35878,27607,40.4,"(33.5, 48.2)",40.9,"(33.9, 48.7)"
NY,New York,Bronx,36005,POINT (-73.8639682834492 40.8500845301366),1379946,1045141,43.2,"(40.0, 46.7)",43.5,"(40.3, 47.0)"
KS,Kansas,Jewell,20089,POINT (-98.2182221957202 39.7847143160624),2898,2293,32.9,"(26.4, 39.8)",36.1,"(29.3, 43.3)"
FL,Florida,Leon,12073,POINT (-84.2782658595301 30.4579959957893),297369,243063,39.5,"(34.7, 44.4)",40.7,"(35.8, 45.7)"
ME,Maine,Somerset,23025,POINT (-69.959045271424 45.5138889144984),51098,41776,37.8,"(33.5, 42.3)",38.9,"(34.5, 43.5)"
ND,North Dakota,Adams,38001,POINT (-102.5284049481 46.0968716061517),2115,1698,31.6,"(25.3, 38.6)",34.5,"(28.0, 41.7)"
PA,Pennsylvania,Somerset,42111,POINT (-79.0282547237808 39.9725423472168),72710,59580,35.7,"(29.2, 42.4)",37.4,"(30.6, 44.3)"
TN,Tennessee,Hawkins,47073,POINT (-82.9450444113545 36.4415694490017),58043,46936,37.1,"(30.6, 43.6)",38.7,"(31.9, 45.2)"
OH,Ohio,Vinton,39163,POINT (-82.4851248671181 39.2511886305124),12565,9920,38.8,"(32.3, 45.9)",39.7,"(33.2, 46.9)"
CA,California,Fresno,6019,POINT (-119.64899454546 36.7581714404224),1015190,734510,35.9,"(31.0, 41.2)",36.2,"(31.3, 41.5)"
MS,Mississippi,Quitman,28119,POINT (-90.2892529683355 34.2512280348671),5701,4388,43.9,"(36.6, 51.6)",44.9,"(37.5, 52.7)"
KY,Kentucky,Lee,21129,POINT (-83.7161047700104 37.5945435020286),7261,5967,42.8,"(35.5, 50.3)",43.2,"(35.9, 50.7)"
LA,Louisiana,East Carroll,22035,POINT (-91.2350797653232 32.7324975675063),6990,5567,47.8,"(39.9, 55.7)",48.4,"(40.6, 56.4)"
WV,West Virginia,Wayne,54099,POINT (-82.4271343320478 38.1459980233102),37998,30407,44.3,"(37.4, 49.9)",46.0,"(39.0, 51.7)"
KS,Kansas,Meade,20119,POINT (-100.365566748715 37.2382604022196),3897,2863,34.7,"(28.3, 41.6)",35.9,"(29.4, 42.9)"
TX,Texas,Taylor,48441,POINT (-99.8901007880615 32.3015982054604),145163,109881,36.9,"(30.4, 43.9)",37.9,"(31.4, 45.0)"
TX,Texas,Comanche,48093,POINT (-98.5581879467796 31.9479319781139),13878,10767,37.9,"(30.6, 45.4)",39.4,"(32.1, 47.1)"
SC,South Carolina,Pickens,45077,POINT (-82.7248279101052 34.8875012785259),133462,109036,35.9,"(30.2, 41.7)",37.4,"(31.8, 43.4)"
GA,Georgia,White,13311,POINT (-83.7466369042174 34.6465178296611),28806,23316,32.7,"(26.3, 39.6)",34.2,"(27.7, 41.3)"
GA,Georgia,Harris,13145,POINT (-84.9080983606134 32.7360422187992),36276,28493,38.1,"(31.6, 44.6)",38.9,"(32.4, 45.5)"
AR,Arkansas,Miller,5091,POINT (-93.8924281761086 33.3123156126392),42552,32501,40.9,"(34.3, 47.6)",41.8,"(35.2, 48.5)"
TX,Texas,Ochiltree,48357,POINT (-100.815710053188 36.2782929331086),9606,6724,37.7,"(33.5, 42.0)",38.2,"(34.0, 42.5)"
MO,Missouri,Macon,29121,POINT (-92.5645284605799 39.8304533484823),15049,11554,37.4,"(31.1, 44.1)",38.9,"(32.5, 45.8)"
NC,North Carolina,Duplin,37061,POINT (-77.9328634793398 34.9363853110288),48990,37227,34.2,"(27.8, 40.9)",35.4,"(28.9, 42.2)"
IA,Iowa,Decatur,19053,POINT (-93.7863886411411 40.7375938894214),7683,5940,31.9,"(25.7, 38.5)",34.2,"(27.7, 41.1)"
TX,Texas,Mills,48333,POINT (-98.5954945893768 31.4950789816718),4500,3603,34.1,"(27.6, 41.3)",36.9,"(30.0, 44.3)"
KS,Kansas,Clark,20025,POINT (-99.8196192691957 37.2354754028938),1933,1454,33.8,"(27.3, 40.7)",35.4,"(28.8, 42.5)"
ID,Idaho,Blaine,16013,POINT (-113.979666235261 43.4116034636535),24866,20150,27.2,"(22.0, 33.0)",27.9,"(22.6, 33.9)"
WI,Wisconsin,Price,55099,POINT (-90.3614824634713 45.680136950248),14179,11757,35.5,"(29.7, 41.7)",37.9,"(31.9, 44.2)"
NM,New Mexico,Cibola,35006,POINT (-107.999572657595 34.9125517104749),26950,20569,40.0,"(34.1, 45.9)",40.8,"(34.9, 46.6)"
TX,Texas,Presidio,48377,POINT (-104.240890371307 29.9999117910567),5939,4338,39.2,"(31.8, 46.4)",41.5,"(33.9, 48.8)"
IA,Iowa,Marion,19125,POINT (-93.0994398288825 41.3344521497994),33642,25886,28.2,"(22.7, 34.0)",29.3,"(23.6, 35.3)"
NC,North Carolina,Alamance,37001,POINT (-79.3994760246283 36.0436739846115),176353,137937,35.5,"(29.3, 42.1)",36.7,"(30.4, 43.4)"
MN,Minnesota,Redwood,27127,POINT (-95.25367555994 44.4036089049242),15361,11530,27.7,"(22.0, 33.9)",29.3,"(23.3, 35.7)"
VA,Virginia,Gloucester,51073,POINT (-76.5413640044154 37.4139464611437),39493,31670,31.7,"(26.2, 37.6)",32.6,"(27.0, 38.6)"
OK,Oklahoma,Kingfisher,40073,POINT (-97.9417611779196 35.9455302703201),15293,11262,35.8,"(29.3, 42.8)",36.6,"(30.0, 43.6)"
SD,South Dakota,Lawrence,46081,POINT (-103.792078633994 44.3585402396414),27214,22753,28.8,"(22.9, 35.2)",30.8,"(24.7, 37.4)"
KY,Kentucky,Oldham,21185,POINT (-85.4487186864819 38.3999488893367),69431,52476,35.4,"(28.8, 42.5)",36.1,"(29.5, 43.2)"
MO,Missouri,Dallas,29059,POINT (-93.0235850418397 37.680556038393),17626,13410,37.4,"(30.5, 44.8)",38.7,"(31.7, 46.1)"
CA,California,Amador,6005,POINT (-120.650760892534 38.4464297028895),41412,35068,32.8,"(26.7, 39.4)",34.4,"(28.2, 41.1)"
AL,Alabama,Crenshaw,1041,POINT (-86.3135271841638 31.7314522019174),13025,10003,39.1,"(32.0, 46.3)",40.4,"(33.2, 47.8)"
LA,Louisiana,Madison,22065,POINT (-91.2418235757553 32.3648754417942),9478,7107,46.2,"(38.5, 53.6)",47.1,"(39.4, 54.5)"
MI,Michigan,Charlevoix,26029,POINT (-85.1290448325505 45.3057891568956),26293,21745,35.5,"(28.6, 42.5)",37.5,"(30.4, 44.7)"
OH,Ohio,Athens,39009,POINT (-82.0448471943357 39.3339958943025),58979,50122,36.5,"(32.1, 41.1)",38.7,"(34.1, 43.4)"
TX,Texas,Caldwell,48055,POINT (-97.6196838584174 29.8365723490979),47848,37078,37.2,"(30.1, 45.0)",37.7,"(30.6, 45.6)"
MN,Minnesota,Beltrami,27007,POINT (-94.9384255652985 47.9740071822672),46799,35314,31.5,"(26.7, 36.2)",32.7,"(27.8, 37.5)"
NE,Nebraska,Johnson,31097,POINT (-96.2651014055988 40.392522032894),5287,4333,31.9,"(25.7, 38.0)",32.7,"(26.5, 39.0)"
GA,Georgia,Cobb,13067,POINT (-84.5766180640985 33.9414862314987),771952,600615,35.8,"(31.8, 40.0)",36.2,"(32.1, 40.4)"
IA,Iowa,Ringgold,19159,POINT (-94.2438634221954 40.7351451515306),4670,3579,34.0,"(27.4, 41.1)",35.5,"(28.7, 42.7)"
NY,New York,Wyoming,36121,POINT (-78.2234922476707 42.7023297025041),39666,32444,38.7,"(31.9, 46.0)",39.9,"(33.0, 47.3)"
TX,Texas,Wichita,48485,POINT (-98.7037201322171 33.9880210918008),129978,100483,38.6,"(31.7, 45.7)",39.5,"(32.6, 46.7)"
MS,Mississippi,Wayne,28153,POINT (-88.6958163057915 31.6408254595216),19681,14839,40.6,"(33.4, 47.9)",42.1,"(34.8, 49.6)"
AL,Alabama,Marion,1093,POINT (-87.8871984960778 34.1365876476739),29156,23044,37.6,"(30.6, 44.9)",38.6,"(31.5, 45.9)"
MT,Montana,Daniels,30019,POINT (-105.54860900657 48.783772051162),1628,1284,30.9,"(24.5, 37.9)",32.9,"(26.2, 40.1)"
KS,Kansas,Rice,20159,POINT (-98.2007483911604 38.3471865068447),9407,7247,32.2,"(26.4, 38.7)",33.7,"(27.7, 40.3)"
AK,Alaska,Southeast Fairbanks,2240,POINT (-143.213550848982 63.8762788125121),7021,5207,35.7,"(30.5, 41.1)",35.9,"(30.7, 41.3)"
SD,South Dakota,Campbell,46021,POINT (-100.051750537836 45.7712476164839),1349,1106,27.8,"(22.1, 34.9)",30.9,"(24.8, 38.3)"
IL,Illinois,Champaign,17019,POINT (-88.199247034004 40.1399616455591),206542,167887,34.6,"(28.4, 41.2)",35.9,"(29.7, 42.7)"
MN,Minnesota,Jackson,27063,POINT (-95.1541374809809 43.6741709035012),9893,7801,28.5,"(22.5, 35.0)",29.9,"(23.7, 36.6)"
NY,New York,Saratoga,36091,POINT (-73.8637604917138 43.1069691252808),238797,193928,30.1,"(25.8, 34.7)",30.7,"(26.3, 35.3)"
MO,Missouri,Randolph,29175,POINT (-92.4971735700748 39.4401347029578),24622,19257,39.1,"(32.5, 45.8)",40.0,"(33.3, 46.7)"
KY,Kentucky,Campbell,21037,POINT (-84.3795922103317 38.945869235336),93300,74368,36.8,"(30.8, 43.2)",37.2,"(31.2, 43.6)"
CO,Colorado,Mesa,8077,POINT (-108.466537411781 39.0183551841305),158636,126505,29.4,"(25.0, 34.5)",30.7,"(26.1, 35.9)"
IN,Indiana,Scott,18143,POINT (-85.7470610792329 38.6857746467527),24588,19038,37.1,"(30.2, 44.2)",37.7,"(30.8, 45.0)"
NE,Nebraska,Thomas,31171,POINT (-100.555663288734 41.9135892531917),671,522,28.9,"(22.7, 35.9)",30.9,"(24.4, 38.1)"
MN,Minnesota,Watonwan,27165,POINT (-94.6141282659352 43.9784120442015),11075,8286,31.4,"(25.5, 37.9)",33.1,"(27.0, 39.7)"
IA,Iowa,Warren,19181,POINT (-93.5613579046369 41.3344050670246),54327,41161,32.6,"(26.8, 38.8)",33.2,"(27.4, 39.5)"
WI,Wisconsin,Manitowoc,55071,POINT (-87.8095945027193 44.1199592891552),81172,64819,34.9,"(29.7, 40.8)",36.4,"(31.1, 42.5)"
GA,Georgia,Cherokee,13057,POINT (-84.4762808876955 34.2438335835566),281278,218103,35.8,"(31.0, 40.9)",35.9,"(31.0, 41.0)"
LA,Louisiana,Acadia,22001,POINT (-92.4117177610375 30.2903815579657),56744,42224,37.3,"(30.7, 44.0)",38.0,"(31.3, 44.7)"
TX,Texas,Hood,48221,POINT (-97.832107492052 32.4300324854854),66373,52905,32.6,"(27.6, 37.8)",34.0,"(28.9, 39.5)"
VA,Virginia,Fredericksburg,51630,POINT (-77.4875497086418 38.2989044049253),28757,22788,39.8,"(33.0, 46.9)",40.5,"(33.7, 47.7)"
FL,Florida,Bradford,12007,POINT (-82.1687798507679 29.9496087311112),27313,21654,41.9,"(36.4, 47.9)",43.0,"(37.4, 49.0)"
NC,North Carolina,Greene,37079,POINT (-77.6758039116837 35.4849054091072),20211,16362,40.1,"(32.8, 47.8)",40.9,"(33.5, 48.6)"
AR,Arkansas,Little River,5081,POINT (-94.2341214453394 33.7020296690166),11821,9241,38.7,"(31.3, 46.6)",40.4,"(32.9, 48.4)"
MO,Missouri,Polk,29167,POINT (-93.4004552714564 37.6164897040751),32693,25166,38.9,"(32.1, 45.9)",40.3,"(33.5, 47.5)"
WV,West Virginia,Lewis,54041,POINT (-80.5022541227854 38.9959239226888),16767,13200,43.2,"(36.3, 50.7)",44.7,"(37.7, 52.2)"
TN,Tennessee,Wayne,47181,POINT (-87.7884393295724 35.2401834961045),16308,13642,41.8,"(34.7, 49.0)",43.0,"(35.8, 50.2)"
TX,Texas,San Saba,48411,POINT (-98.8176268583521 31.1552372018107),5824,4715,37.9,"(30.9, 45.5)",39.8,"(32.7, 47.5)"
CA,California,Santa Barbara,6083,POINT (-120.015341806806 34.6714050399297),443837,346432,31.3,"(26.1, 36.8)",32.2,"(26.9, 37.8)"
OK,Oklahoma,Grady,40051,POINT (-97.8841663460881 35.0166148085145),56658,43566,35.5,"(29.8, 41.7)",36.1,"(30.3, 42.4)"
MT,Montana,Richland,30083,POINT (-104.561462330904 47.7879142999994),11237,8404,32.4,"(26.8, 38.3)",32.8,"(27.2, 38.8)"
CO,Colorado,Morgan,8087,POINT (-103.810070739977 40.2628578824712),29239,21601,32.2,"(26.0, 38.7)",33.0,"(26.8, 39.6)"
NH,New Hampshire,Rockingham,33015,POINT (-71.1255643133012 42.9875838743513),319424,260968,33.2,"(29.2, 37.4)",34.6,"(30.4, 38.9)"
GA,Georgia,Fulton,13121,POINT (-84.4671331339505 33.7900005623491),1074634,853072,39.8,"(35.8, 44.1)",39.8,"(35.9, 44.1)"
NM,New Mexico,Mora,35033,POINT (-104.945208546149 36.0107901059259),4169,3487,33.9,"(27.2, 41.2)",36.4,"(29.4, 43.8)"
MO,Missouri,Boone,29019,POINT (-92.3097468744256 38.9911551381179),187690,150446,32.4,"(27.7, 37.5)",33.9,"(29.1, 39.1)"
AL,Alabama,St. Clair,1115,POINT (-86.3145905166032 33.7153193943775),93932,73225,35.1,"(28.9, 41.5)",35.8,"(29.6, 42.3)"
WA,Washington,Wahkiakum,53069,POINT (-123.424936104773 46.2921200927637),4688,3925,31.1,"(26.1, 36.5)",34.2,"(28.9, 39.9)"
CT,Connecticut,Southeastern Connecticut,9180,POINT (-72.1004124325639 41.50316428787),280403,227536,36.9,"(32.9, 41.0)",38.5,"(34.7, 42.0)"
MN,Minnesota,Meeker,27093,POINT (-94.5268543213058 45.123016355784),23496,17923,28.7,"(23.3, 34.4)",30.3,"(24.7, 36.2)"
NC,North Carolina,Perquimans,37143,POINT (-76.4398245484823 36.2049769828067),13210,10767,32.4,"(25.9, 39.2)",34.2,"(27.5, 41.2)"
AK,Alaska,Hoonah-Angoon,2105,POINT (-135.641352469501 58.2866674624936),2287,1905,35.8,"(29.0, 42.8)",37.7,"(30.7, 44.9)"
NJ,New Jersey,Burlington,34005,POINT (-74.6679370532551 39.8779607666987),466103,371279,34.1,"(29.7, 38.4)",34.7,"(30.3, 39.0)"
VA,Virginia,Floyd,51063,POINT (-80.3618589630036 36.9320626062112),15619,12691,34.0,"(27.9, 40.6)",35.4,"(29.1, 42.0)"
SD,South Dakota,Grant,46051,POINT (-96.7679445761964 45.17218531436),7463,5851,27.9,"(21.7, 34.0)",29.5,"(23.1, 35.8)"
TX,Texas,Bailey,48017,POINT (-102.82988444052 34.0685882519589),6779,4767,36.7,"(29.5, 44.5)",37.5,"(30.3, 45.4)"
VA,Virginia,Suffolk,51800,POINT (-76.6392874870984 36.6957657724593),98537,75453,40.1,"(34.3, 46.4)",40.5,"(34.7, 46.9)"
KY,Kentucky,Shelby,21211,POINT (-85.1954663779715 38.2157212257424),48886,38362,38.4,"(31.2, 45.8)",39.1,"(31.9, 46.6)"
CO,Colorado,Denver,8031,POINT (-104.876829827118 39.7613507378355),713252,584904,29.2,"(25.8, 32.8)",29.2,"(25.7, 32.7)"
MA,Massachusetts,Worcester,25027,POINT (-71.907721776532 42.3513441194523),862927,687641,34.6,"(31.0, 38.4)",35.3,"(31.6, 39.2)"
NY,New York,Fulton,36035,POINT (-74.4220932664269 43.1138238257635),52669,42388,40.3,"(34.9, 45.9)",41.5,"(36.1, 47.2)"
OR,Oregon,Sherman,41055,POINT (-120.68938732738 45.4052253300695),1955,1564,30.1,"(24.0, 36.7)",31.9,"(25.4, 38.7)"
AL,Alabama,Franklin,1059,POINT (-87.8436750232892 34.4417388803873),31932,24099,38.3,"(31.2, 45.9)",39.3,"(32.1, 46.9)"
VA,Virginia,Augusta,51015,POINT (-79.1343293692758 38.1645487269489),78064,63899,35.4,"(29.6, 41.2)",37.0,"(31.1, 43.0)"
TN,Tennessee,Gibson,47053,POINT (-88.9323952175504 35.9963201615128),50837,38529,40.3,"(33.2, 47.9)",41.1,"(33.9, 48.7)"
ND,North Dakota,Foster,38031,POINT (-98.8828143321964 47.4570556413671),3378,2591,31.0,"(24.8, 37.8)",32.9,"(26.5, 39.9)"
IL,Illinois,Ford,17053,POINT (-88.2232288965675 40.5969753516825),13249,10205,37.6,"(30.5, 45.3)",39.1,"(31.8, 46.9)"
OK,Oklahoma,McIntosh,40091,POINT (-95.6667724737982 35.3737043637911),19451,15495,36.5,"(29.6, 43.4)",38.8,"(31.7, 45.9)"
OR,Oregon,Harney,41025,POINT (-118.967996308157 43.0639531792171),7515,6060,33.7,"(26.9, 40.7)",35.7,"(28.7, 42.9)"
CA,California,Orange,6059,POINT (-117.761130979135 33.702790446535),3151184,2496667,35.4,"(31.6, 39.4)",36.0,"(32.2, 40.0)"
MO,Missouri,Barry,29009,POINT (-93.8290276742636 36.7098311281883),34926,27078,36.0,"(29.2, 43.3)",37.6,"(30.7, 45.0)"
MS,Mississippi,Clay,28025,POINT (-88.7823336987574 33.6559798711503),18380,14241,41.5,"(35.0, 48.8)",43.2,"(36.6, 50.5)"
GA,Georgia,Laurens,13175,POINT (-82.9221481443504 32.4634419341698),49660,37496,40.4,"(35.0, 46.2)",41.6,"(36.1, 47.3)"
KS,Kansas,Gray,20069,POINT (-100.437963131755 37.7385173809525),5729,4088,31.0,"(24.8, 37.6)",32.0,"(25.7, 38.7)"
TX,Texas,Gregg,48183,POINT (-94.8172129149567 32.4804256310109),125443,93367,39.4,"(32.4, 46.5)",40.2,"(33.2, 47.4)"
NC,North Carolina,Lincoln,37109,POINT (-81.2240721915513 35.4855553677493),93095,74084,33.5,"(26.8, 40.5)",34.4,"(27.7, 41.6)"
GA,Georgia,Morgan,13211,POINT (-83.4922780042542 33.5910799753336),21031,16417,36.4,"(29.9, 43.4)",37.7,"(31.1, 44.9)"
AR,Arkansas,Perry,5105,POINT (-92.9308792596259 34.9473919842415),10063,7925,38.8,"(31.8, 46.2)",40.2,"(33.1, 47.8)"
MS,Mississippi,Sharkey,28125,POINT (-90.8134092594073 32.8799116310974),3488,2649,44.4,"(37.1, 52.2)",46.1,"(38.6, 54.0)"
MI,Michigan,Ottawa,26139,POINT (-85.996165909642 42.9598343114753),300873,232336,28.3,"(23.7, 33.1)",29.6,"(24.9, 34.5)"
IN,Indiana,Ohio,18115,POINT (-84.9654176397488 38.9500282087554),6114,4871,34.8,"(27.8, 42.0)",36.0,"(28.9, 43.2)"
NE,Nebraska,Brown,31017,POINT (-99.9294960789212 42.4301633100803),2872,2257,31.4,"(25.4, 38.0)",33.1,"(26.9, 39.8)"
UT,Utah,Piute,49031,POINT (-112.127216144645 38.3366319374569),1487,1184,34.8,"(27.9, 42.3)",37.4,"(30.2, 45.1)"
SC,South Carolina,Beaufort,45013,POINT (-80.7300476561363 32.3857901390983),196371,162749,30.4,"(26.7, 34.3)",32.9,"(29.0, 37.0)"
NE,Nebraska,McPherson,31117,POINT (-101.059890687006 41.5680379638946),372,304,30.9,"(24.5, 37.9)",33.4,"(26.6, 40.6)"
ND,North Dakota,Ramsey,38071,POINT (-98.7196582443266 48.2692014615205),11515,8770,31.1,"(25.5, 37.3)",32.7,"(26.9, 39.0)"
IN,Indiana,White,18181,POINT (-86.8651715868803 40.7497485532469),24598,18943,37.5,"(30.6, 44.7)",39.0,"(32.0, 46.3)"
OH,Ohio,Noble,39121,POINT (-81.4555238795305 39.7661009290061),14335,11638,38.1,"(31.9, 44.9)",40.8,"(34.3, 47.8)"
WI,Wisconsin,Jackson,55053,POINT (-90.8049987126148 44.3192836652452),20836,16396,35.5,"(29.1, 42.3)",36.4,"(30.0, 43.4)"
NM,New Mexico,Lincoln,35027,POINT (-105.459231313545 33.7455208510099),20411,16777,31.2,"(25.1, 38.0)",33.3,"(26.8, 40.3)"
AR,Arkansas,Sharp,5135,POINT (-91.4796648363714 36.1612525766705),17810,14115,36.1,"(29.6, 43.1)",38.6,"(31.9, 45.8)"
MS,Mississippi,Monroe,28095,POINT (-88.4805556828902 33.8921945933454),33577,26021,38.8,"(32.7, 45.5)",40.1,"(33.9, 46.8)"
OH,Ohio,Logan,39091,POINT (-83.76563102183 40.3884968079535),46040,35671,36.9,"(30.3, 44.0)",37.9,"(31.1, 44.9)"
ID,Idaho,Power,16077,POINT (-112.83983825663 42.6930636583738),8068,5659,33.5,"(27.0, 40.5)",34.4,"(27.8, 41.5)"
MN,Minnesota,Pine,27115,POINT (-92.7413892016485 46.1207288460202),29446,23777,32.1,"(26.5, 38.4)",33.3,"(27.6, 39.6)"
WV,West Virginia,Boone,54005,POINT (-81.7108557946382 38.0221545914536),20968,16691,42.5,"(35.8, 49.5)",44.0,"(37.2, 51.1)"
GA,Georgia,Fannin,13111,POINT (-84.3204086574096 34.864592267803),25737,21831,34.9,"(28.4, 41.9)",37.8,"(31.0, 45.0)"
NC,North Carolina,Cherokee,37039,POINT (-84.0637476312268 35.1337276354312),29512,24916,30.0,"(24.3, 36.8)",32.2,"(26.1, 39.1)"
UT,Utah,Carbon,49007,POINT (-110.589301278449 39.6480541147278),20571,15401,34.6,"(29.3, 40.3)",35.6,"(30.2, 41.3)"
KY,Kentucky,Hancock,21091,POINT (-86.7778399083922 37.8415102879487),9021,6872,38.4,"(31.7, 45.5)",39.6,"(32.8, 46.8)"
KY,Kentucky,Washington,21229,POINT (-85.175051728938 37.7532982899311),12061,9333,38.1,"(31.4, 45.3)",39.1,"(32.4, 46.5)"
VA,Virginia,Prince George,51149,POINT (-77.2246950092364 37.1866269731616),43134,34706,41.4,"(35.2, 47.9)",42.0,"(35.7, 48.5)"
MT,Montana,Musselshell,30065,POINT (-108.397686370249 46.4967819967113),5197,4164,33.1,"(26.7, 40.3)",34.8,"(28.3, 42.1)"
DC,District of Columbia,District of Columbia,11001,POINT (-77.0162965438829 38.9047814917885),671803,547328,32.8,"(27.4, 38.2)",32.8,"(27.5, 38.2)"
TN,Tennessee,Henry,47079,POINT (-88.3011213574878 36.3321762008328),32379,25900,38.4,"(31.8, 45.3)",40.0,"(33.2, 46.9)"
FL,Florida,St. Johns,12109,POINT (-81.4404722322229 29.9015394601225),306841,241439,30.0,"(25.3, 35.3)",31.3,"(26.4, 36.8)"
PA,Pennsylvania,Centre,42027,POINT (-77.8198125369243 40.9187332372117),158425,135709,35.2,"(28.9, 41.4)",37.3,"(30.8, 43.7)"
NY,New York,Montgomery,36057,POINT (-74.4398302123648 42.9023460967944),49623,38196,42.3,"(36.6, 48.4)",43.4,"(37.6, 49.5)"
TX,Texas,Johnson,48251,POINT (-97.3667838831373 32.378886664573),195506,145607,40.7,"(35.8, 45.7)",41.1,"(36.2, 46.1)"
MS,Mississippi,Covington,28031,POINT (-89.552615522903 31.6333020921756),18098,13625,38.3,"(31.6, 45.2)",39.2,"(32.4, 46.1)"
TN,Tennessee,Dickson,47043,POINT (-87.3566117354083 36.1488949265388),55761,43346,38.7,"(31.7, 46.1)",39.5,"(32.4, 46.9)"
OR,Oregon,Polk,41053,POINT (-123.413199130106 44.9034725439217),89614,70343,33.3,"(27.4, 39.5)",34.6,"(28.5, 40.8)"
MN,Minnesota,Dakota,27037,POINT (-93.0651627248134 44.6719521040191),443341,338325,28.1,"(25.2, 31.0)",28.5,"(25.6, 31.4)"
CA,California,Modoc,6049,POINT (-120.725180763953 41.5897153747434),8511,6957,32.1,"(25.8, 39.4)",34.3,"(27.7, 41.8)"
